Date,Station,AQI
2023-01-01,alipur,292.0
2023-01-01,ito,225.0
2023-01-01,lodhi_road,190.0
2023-01-01,mandir_marg,254.0
2023-01-01,nsit_dwarka,257.0
2023-01-01,punjabi_bagh,297.0
2023-01-01,rk_puram,258.0
2023-01-01,rohini,320.0
2023-01-01,anand_vihar,294.0
2023-01-02,punjabi_bagh,388.0
2023-01-02,rohini,386.0
2023-01-02,wazirpur,390.0
2023-01-02,anand_vihar,375.0
2023-01-02,lodhi_road,284.0
2023-01-02,ito,405.0
2023-01-02,rk_puram,393.0
2023-01-02,nsit_dwarka,385.0
2023-01-03,rk_puram,402.0
2023-01-03,wazirpur,414.0
2023-01-03,anand_vihar,400.0
2023-01-03,mandir_marg,390.0
2023-01-03,punjabi_bagh,412.0
2023-01-03,rohini,399.0
2023-01-03,lodhi_road,346.0
2023-01-03,ito,415.0
2023-01-03,alipur,369.0
2023-01-03,nsit_dwarka,391.0
2023-01-04,ito,390.0
2023-01-04,anand_vihar,390.0
2023-01-04,punjabi_bagh,362.0
2023-01-04,alipur,300.0
2023-01-04,rk_puram,373.0
2023-01-04,nsit_dwarka,351.0
2023-01-04,lodhi_road,273.0
2023-01-04,wazirpur,369.0
2023-01-04,rohini,352.0
2023-01-04,mandir_marg,359.0
2023-01-05,wazirpur,359.0
2023-01-05,rk_puram,371.0
2023-01-05,nsit_dwarka,294.0
2023-01-05,anand_vihar,422.0
2023-01-05,ito,400.0
2023-01-05,mandir_marg,353.0
2023-01-05,lodhi_road,274.0
2023-01-05,punjabi_bagh,367.0
2023-01-05,alipur,307.0
2023-01-05,rohini,347.0
2023-01-06,rohini,396.0
2023-01-06,mandir_marg,406.0
2023-01-06,lodhi_road,365.0
2023-01-06,nsit_dwarka,390.0
2023-01-06,punjabi_bagh,422.0
2023-01-06,alipur,360.0
2023-01-06,anand_vihar,448.0
2023-01-06,rk_puram,442.0
2023-01-06,ito,439.0
2023-01-06,wazirpur,419.0
2023-01-07,alipur,334.0
2023-01-07,rk_puram,397.0
2023-01-07,punjabi_bagh,405.0
2023-01-07,rohini,384.0
2023-01-07,nsit_dwarka,342.0
2023-01-07,mandir_marg,387.0
2023-01-07,lodhi_road,332.0
2023-01-07,anand_vihar,434.0
2023-01-07,wazirpur,398.0
2023-01-07,ito,414.0
2023-01-08,wazirpur,379.0
2023-01-08,rohini,363.0
2023-01-08,punjabi_bagh,382.0
2023-01-08,mandir_marg,378.0
2023-01-08,anand_vihar,435.0
2023-01-08,lodhi_road,342.0
2023-01-08,alipur,326.0
2023-01-08,ito,422.0
2023-01-08,rk_puram,404.0
2023-01-08,nsit_dwarka,344.0
2023-01-09,ito,486.0
2023-01-09,anand_vihar,471.0
2023-01-09,rohini,447.0
2023-01-09,wazirpur,452.0
2023-01-09,lodhi_road,406.0
2023-01-09,alipur,366.0
2023-01-09,mandir_marg,449.0
2023-01-09,punjabi_bagh,443.0
2023-01-09,nsit_dwarka,452.0
2023-01-09,rk_puram,472.0
2023-01-10,anand_vihar,445.0
2023-01-10,wazirpur,419.0
2023-01-10,ito,466.0
2023-01-10,rohini,399.0
2023-01-10,alipur,357.0
2023-01-10,nsit_dwarka,385.0
2023-01-10,lodhi_road,370.0
2023-01-10,punjabi_bagh,428.0
2023-01-10,mandir_marg,424.0
2023-01-10,rk_puram,436.0
2023-01-11,ito,417.0
2023-01-11,anand_vihar,379.0
2023-01-11,nsit_dwarka,284.0
2023-01-11,lodhi_road,232.0
2023-01-11,mandir_marg,302.0
2023-01-11,punjabi_bagh,340.0
2023-01-11,alipur,261.0
2023-01-11,rohini,311.0
2023-01-11,wazirpur,335.0
2023-01-11,rk_puram,348.0
2023-01-12,rohini,419.0
2023-01-12,anand_vihar,382.0
