Date,AQI
2023-01-01,252.0
2023-01-02,401.0
2023-01-03,413.0
2023-01-04,372.0
2023-01-05,355.0
2023-01-06,412.0
2023-01-07,385.0
2023-01-09,491.0
2023-01-10,420.0
2023-01-11,337.0
2023-01-12,372.0
2023-01-13,375.0
2023-01-14,355.0
2023-01-15,217.0
2023-01-16,274.0
2023-01-17,298.0
2023-01-18,306.0
2023-01-19,354.0
2023-01-20,244.0
2023-01-21,324.0
2023-01-22,447.0
2023-01-23,363.0
2023-01-24,254.0
2023-01-25,160.0
2023-01-26,329.0
2023-01-27,285.0
2023-01-28,270.0
2023-01-29,359.0
2023-01-30,222.0
2023-01-31,209.0
2023-02-01,201.0
2023-02-02,204.0
2023-02-03,206.0
2023-02-04,258.0
2023-02-05,266.0
2023-02-06,278.0
2023-02-07,280.0
2023-02-08,152.0
2023-02-09,258.0
2023-02-10,169.0
2023-02-11,269.0
2023-02-12,178.0
2023-02-13,138.0
2023-02-14,138.0
2023-02-15,204.0
2023-02-16,286.0
2023-02-19,333.0
2023-02-20,301.0
2023-02-21,218.0
2023-02-22,311.0
2023-02-23,270.0
2023-02-24,179.0
2023-02-25,249.0
2023-02-26,319.0
2023-02-27,269.0
2023-02-28,257.0
2023-03-01,189.0
2023-03-02,291.0
2023-03-03,169.0
2023-03-04,143.0
2023-03-05,140.0
2023-03-06,148.0
2023-03-07,144.0
2023-03-09,95.0
2023-03-11,205.0
2023-03-12,254.0
2023-03-13,224.0
2023-03-14,210.0
2023-03-15,230.0
2023-03-16,241.0
2023-03-17,187.0
2023-03-18,178.0
2023-03-19,154.0
2023-03-20,117.0
2023-03-21,61.0
2023-03-22,169.0
2023-03-23,134.0
2023-03-25,66.0
2023-03-26,207.0
2023-03-27,171.0
2023-03-28,160.0
2023-03-29,175.0
2023-03-30,158.0
2023-03-31,57.0
2023-04-01,89.0
2023-04-02,108.0
2023-04-03,210.0
2023-04-04,128.0
2023-04-05,167.0
2023-04-06,185.0
2023-04-07,165.0
2023-04-08,204.0
2023-04-09,265.0
2023-04-10,263.0
2023-04-11,315.0
2023-04-12,259.0
2023-04-13,262.0
2023-04-14,293.0
2023-04-15,336.0
2023-04-16,258.0
2023-04-17,246.0
2023-04-18,296.0
2023-04-19,282.0
2023-04-20,176.0
2023-04-21,137.0
2023-04-22,160.0
2023-04-23,110.0
2023-04-24,159.0
2023-04-25,132.0
2023-04-26,186.0
2023-04-27,212.0
2023-04-28,153.0
2023-04-29,216.0
